"aircraft_serial_number","ata_chapter","ata_description","jasc_code","operator_control_number","failed_part","severity","jasc_description"
29536,25,"Equipment / Furnishings","2560","AALA202510132393","battery",1,"EMERGENCY EQUIPMENT"
31268,25,"Equipment / Furnishings","2560","AALA202510175571","CND",1,"EMERGENCY EQUIPMENT"
29554,28,"Fuel","2810","AALA202510201055","other",1,"FUEL STORAGE"
31217,25,"Equipment / Furnishings","2560","AALA202510223575","pack",1,"EMERGENCY EQUIPMENT"
33492,53,"Fuselage","5320","AALA202510236385","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31177,53,"Fuselage","5320","AALA202510237031","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31177,53,"Fuselage","5320","AALA202510237549","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31105,25,"Equipment / Furnishings","2560","AALA202502062863","door",1,"EMERGENCY EQUIPMENT"
40584,53,"Fuselage","5310","AALA202510232141","latch",0,"FUSELAGE MAIN, STRUCTURE"
44465,25,"Equipment / Furnishings","2560","AALA202510024284","battery",1,"EMERGENCY EQUIPMENT"
30903,25,"Equipment / Furnishings","2560","AALA202510272092","door",1,"EMERGENCY EQUIPMENT"
68114,33,"Lights","3350","AALA202510300495","door",1,"EMERGENCY LIGHTING"
31111,53,"Fuselage","5340","AALA202510060482","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
29509,53,"Fuselage","5310","AALA202601152253","other",0,"FUSELAGE MAIN, STRUCTURE"
29564,52,"Doors","5250","AALA202510319363","door",0,"FIXED INNER DOORS"
44456,25,"Equipment / Furnishings","2560","AALA202510091836","door",1,"EMERGENCY EQUIPMENT"
33323,53,"Fuselage","5320","AALA202510132156","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33492,53,"Fuselage","5340","AALA202510134183","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
31177,53,"Fuselage","5320","AALA202510143618","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33232,53,"Fuselage","5310","AALA202510145138","panel",0,"FUSELAGE MAIN, STRUCTURE"
31153,25,"Equipment / Furnishings","2560","AALA202510162008","battery",1,"EMERGENCY EQUIPMENT"
44452,33,"Lights","3350","AALA202510165035","pack",1,"EMERGENCY LIGHTING"
31269,33,"Lights","3350","AALA202510202150","other",1,"EMERGENCY LIGHTING"
44486,72,"Engine","7200","AALA202510220570","engine",3,"ENGINE (TURBINE/TURBOPROP)"
40584,53,"Fuselage","5310","AALA202510242798","other",0,"FUSELAGE MAIN, STRUCTURE"
29567,33,"Lights","3350","AALA202408098339","CND",1,"EMERGENCY LIGHTING"
31280,33,"Lights","3350","AALA202510067416","other",1,"EMERGENCY LIGHTING"
68056,52,"Doors","5250","AALA202510273430","latch",0,"FIXED INNER DOORS"
29509,53,"Fuselage","5310","AALA202601148805","other",0,"FUSELAGE MAIN, STRUCTURE"
29509,53,"Fuselage","5310","AALA202601144395","apu component",0,"FUSELAGE MAIN, STRUCTURE"
40764,52,"Doors","5250","AALA202510031366","door",0,"FIXED INNER DOORS"
29506,55,"Stabilizers","5510","AALA202510302533","other",0,"HORIZONTAL STABILIZER STRUCTURE"
44482,52,"Doors","5250","AALA202510309329","door",0,"FIXED INNER DOORS"
31077,33,"Lights","3350","AALA202408129041","CND",1,"EMERGENCY LIGHTING"
44456,34,"Navigation","3440","AALA202510062346","CND",3,"INDEPENDENT POS. DETERMINING SYSTEM"
31071,25,"Equipment / Furnishings","2560","AALA202510061881","battery",1,"EMERGENCY EQUIPMENT"
33491,55,"Stabilizers","5510","AALA202511035044","other",0,"HORIZONTAL STABILIZER STRUCTURE"
33327,28,"Fuel","2800","AALA202510138180","CND",3,"AIRCRAFT FUEL SYSTEM"
31127,33,"Lights","3350","AALA202510136335","switch",1,"EMERGENCY LIGHTING"
29528,25,"Equipment / Furnishings","2560","AALA202510037807","door",1,"EMERGENCY EQUIPMENT"
40584,53,"Fuselage","5330","AALA202510201118","other",0,"FUSELAGE MAIN, PLATE/SKIN"
29509,53,"Fuselage","5310","AALA202601158169","other",0,"FUSELAGE MAIN, STRUCTURE"
44470,25,"Equipment / Furnishings","2560","AALA202502213381","CND",1,"EMERGENCY EQUIPMENT"
31269,25,"Equipment / Furnishings","2560","AALA202502211420","other",1,"EMERGENCY EQUIPMENT"
31087,53,"Fuselage","5330","AALA202502240420","module",0,"FUSELAGE MAIN, PLATE/SKIN"
31210,25,"Equipment / Furnishings","2560","AALA202510030195","CND",1,"EMERGENCY EQUIPMENT"
44473,53,"Fuselage","5300","AALA202505087582","CND",3,"FUSELAGE STRUCTURE (GENERAL)"
29522,52,"Doors","5250","AALA202505087615","CND",0,"FIXED INNER DOORS"
33314,52,"Doors","5250","AALA202510076568","hinge",0,"FIXED INNER DOORS"
