"id","operator_control_number","difficulty_date","submission_date","operator_designator_id","submitter_designator_id","submitter_type_code","receiving_region_code","receiving_district_office","sdr_type","nature_condition_a","nature_condition_b","nature_condition_c","precautionary_proc_a","precautionary_proc_b","precautionary_proc_c","precautionary_proc_d","stage_of_operation","how_discovered","discrepancy","aircraft_id","operator_id","jasc_code","engine_make","engine_model","engine_serial_number","engine_total_time","engine_total_cycles","propeller_make","propeller_model","propeller_serial_number","propeller_total_time","propeller_total_cycles","part_make","part_name","part_number","part_serial_number","part_condition","part_location","part_total_time","part_total_cycles","part_time_since","part_since_code","component_make","component_model","component_name","component_part_number","component_serial_number","component_location","component_total_time","component_total_cycles","component_time_since","component_since_code","fuselage_station_from","fuselage_station_to","stringer_from","stringer_from_side","stringer_to","stringer_to_side","wing_station_from","wing_station_from_side","wing_station_to","wing_station_to_side","butt_line_from","butt_line_from_side","butt_line_to","butt_line_to_side","water_line_from","water_line_to","crack_length","number_of_cracks","corrosion_level","structural_other","aog_flag","severity","emer_flag","divert_flag","fail_flag","fault_flag","inter_flag","fire_flag","leak_flag","press_flag","elec_flag","fuel_flag","hyd_flag","flightctrl_flag","struct_flag","mel_flag","failed_part","jasc_code_description","ata_chapter","ata_chapter_description"
55156,"AALA202312268280","2023-12-22","2023-12-26",7,7,"A","SW","23","A","O","","","K","","","","NR","9","AIRCRAFT WAS NOT GROUNDED: FLIGHT DECK DOOR DIFFICULT TO OPEN FROM OUTSIDE. LUBRICATED FLIGHT DECK DOOR.",1134,7,"5250","","","","","","","","","","","","DOOR","UNKNOWN","","LACK OF LUBE","ZONE 200 - FUSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
55292,"AALA202312264557","2023-12-25","2023-12-26",7,7,"A","SW","23","A","O","","","K","","","","NR","O","AIRCRAFT WAS NOT GROUNDED: L1 LAVATORY ENTRY DOOR DIFFICULT TO OPEN OR CLOSE. ADJUSTED LAVATORY DOOR.",806,7,"5250","","","","","","","","","","","","DOOR","UNKNOWN","","OUT OF ADJUST","ZONE 900 - LAV/G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
55432,"AALA202310103997","2023-10-09","2023-10-10",7,7,"A","SW","23","A","O","","","K","","","","NR","O","AIRCRAFT WAS NOT GROUNDED: LEFT AFT LAVATORY DOOR DIFFICULT TO OPEN. **SUPPLEMENTAL REPORT WILL BE SUBMITTED** (OPEN).",873,7,"5250","","","","","","","","","","","","UNKNOWN","UNKNOWN","","UNKNOWN","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","CND","FIXED INNER DOORS",52,"Doors"
95,"AALA202402218747","2024-02-20","2024-02-21",7,7,"A","SW","21","A","O","","","K","","","","NR","O","AIRCRAFT WAS NOT GROUNDED: AFT LAVATORY DOOR STUCK. PUT DOOR BACK IN TRACK.",284,7,"5250","","","","","","","","","","","","DOOR","UNKNOWN","","STUCK","LAVATORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","",1,"","","door","FIXED INNER DOORS",52,"Doors"
36312,"AALA202301188608","2022-11-27","2023-01-18",7,7,"A","SW","23","A","O","","","K","","","","IN","V","AIRCRAFT IN BASE MAINTENANCE: MAIN CABIN, FLOOR PANEL 232FF HAS DAMAGE ON TOP SKIN OF PANEL. REMOVED AND REPLACED FLOOR PANEL.",65,7,"5321","","","","","","","","","","","BOEING","FLOOR PANEL","","","DAMAGED","MAIN CABIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","",1,"","panel","FUSELAGE FLOOR PANEL",53,"Fuselage"
48091,"AALA202307056026","2023-07-04","2023-07-05",7,7,"A","SW","23","A","O","","","K","","","","IN","C","AIRCRAFT WAS NOT GROUNDED: COCKPIT DOOR IS HARD TO OPEN FROM THE OUTSIDE. INSPECTED, CLEANED, LUBED COCKPIT DOOR.",349,7,"5250","","","","","","","","","","","","DOOR","UNKNOWN","","LACK OF LUBE","ZONE 200 - FUSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","door","FIXED INNER DOORS",52,"Doors"
21794,"AALA202501274837","2025-01-25","2025-01-27",7,7,"A","SW","21","A","O","","","K","","","","IN","V","AIRCRAFT WAS NOT GROUNDED: LAVATORY-D DOOR IS DIFFICULT TO OPEN AND CLOSE. ADJUSTED DOOR LATCH. PER AMM 25-40-00.",1024,7,"5250","","","","","","","","","","","","DOOR LATCH","","","OUT OF ADJUST","ZONE 800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","latch","FIXED INNER DOORS",52,"Doors"
48197,"AALA202307180239","2023-07-17","2023-07-18",7,7,"A","SW","23","A","L","","","K","","","","IN","C","AIRCRAFT IN BASE MAINTENANCE: EMERGENCY LIGHT POWER SUPPLY M01670 INOPERATIVE. **SUPPLEMENTAL REPORT WILL BE SUBMITTED.** (OPEN)",329,7,"3350","","","","","","","","","","","","UNKNOWN","UNKNOWN","","UNKNOWN","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","CND","EMERGENCY LIGHTING",33,"Lights"
50831,"AALA202304282907","2023-04-27","2023-04-28",7,7,"A","SW","23","A","O","","","K","","","","NR","O","AIRCRAFT WAS NOT GROUNDED: AFT RIGHT DOOR GIRT BAR IS HARD TO DISARM. ADJUSTED CLIPS ON SLIDE COVER.",942,7,"2560","","","","","","","","","","","","RETAINER","","","OUT OF ADJUST","ZONE 800 - DOORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","door","EMERGENCY EQUIPMENT",25,"Equipment / Furnishings"
50832,"AALA202304284248","2023-04-25","2023-04-28",7,7,"A","SW","23","A","O","","","K","","","","IN","V","AIRCRAFT WAS NOT GROUNDED: OVERWING EXIT ROW 17 RH WINDOW SHADE WON'T RETRACT. **SUPPLEMENTAL REPORT REQUIRED** (OPEN)",104,7,"5100","","","","","","","","","","","","UNKNOWN","","","UNKNOWN","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","","","","CND","STANDARD PRACTICES/STRUCTURES",51,"Standard Practices And Structures - General"
